clienteid,evadio,genero,adulto mayor,tiene pareja,tiene dependientes,meses de contrato,servicio telefonico,multilineas,servicio internet,seguridad en linea,respaldo en linea,proteccion de dispositivos,soporte tecnico,television por streaming,suscripcion peliculas,tipo de contrato,factura online,metodo de pago,total del mes,total cliente,cuentas_diarias,cantidad_servicios,evadio_numeric
0021-IKXGC,No,Mujer,1,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,72.1,72.1,2.4033333333333333,2,0
0022-TCJCI,Si,Hombre,1,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Anual,No,Tarjeta de credito (automatico),62.7,2791.5,2.0900000000000003,4,1
0023-HGHWL,Si,Hombre,1,No,No,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electronico,25.1,25.1,0.8366666666666667,0,1
0023-UYUPN,No,Mujer,1,Si,No,50,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electronico,25.2,1306.3,0.84,2,0
0023-XUOPT,Si,Mujer,0,Si,No,13,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,No,Cheque electronico,94.1,1215.6,3.1366666666666663,5,1
0027-KWYKW,No,Mujer,0,Si,Si,23,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,83.75,1849.95,2.7916666666666665,3,0
0030-FNXPP,No,Mujer,0,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,19.85,57.2,0.6616666666666667,1,0
0031-PVLZI,Si,Mujer,0,Si,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.35,76.35,0.6783333333333333,1,1
0032-PGELS,Si,Mujer,0,Si,Si,1,No,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria (automatico),30.5,30.5,1.0166666666666666,1,1
0036-IHMOT,No,Mujer,0,Si,Si,55,Si,No,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),103.7,5656.75,3.4566666666666666,6,0
0040-HALCW,No,Hombre,0,Si,Si,54,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),20.4,1090.6,0.6799999999999999,1,0
0042-JVWOJ,No,Hombre,0,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automatico),19.6,471.85,0.6533333333333334,1,0
0042-RLHYP,No,Mujer,0,Si,Si,69,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),19.7,1396.9,0.6566666666666666,1,0
0048-LUMLS,No,Hombre,0,Si,Si,37,Si,No,Fibra optica,No,No,No,No,Si,Si,Anual,No,Tarjeta de credito (automatico),91.2,3247.55,3.04,3,0
0048-PIHNL,No,Mujer,0,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),20.45,900.9,0.6816666666666666,1,0
0052-DCKON,No,Hombre,0,Si,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,No,Transferencia bancaria (automatico),115.8,7942.15,3.86,8,0
0052-YNYOT,No,Mujer,0,No,No,67,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electronico,20.55,1343.4,0.685,1,0
0056-EPFBG,No,Hombre,0,Si,Si,20,No,Sin servicio telefonico,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de credito (automatico),39.4,825.4,1.3133333333333332,3,0
0057-QBUQH,No,Mujer,0,No,Si,43,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Cheque electronico,25.1,1070.15,0.8366666666666667,2,0
0058-EVZWM,No,Mujer,0,Si,No,55,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria (automatico),89.8,4959.6,2.993333333333333,4,0
0060-FUALY,No,Mujer,0,Si,No,59,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mensual,Si,Cheque electronico,94.75,5597.65,3.158333333333333,5,0
0064-SUDOG,No,Mujer,0,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),20.3,224.5,0.6766666666666666,1,0
0064-YIJGF,No,Hombre,0,Si,Si,27,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automatico),75.75,1929.0,2.525,2,0
0067-DKWBL,Si,Hombre,1,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electronico,49.25,91.1,1.6416666666666666,2,1
0068-FIGTF,No,Mujer,0,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Anual,No,Cheque por correo,78.2,2078.95,2.606666666666667,6,0
0071-NDAFP,No,Hombre,0,Si,Si,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),25.5,630.6,0.85,2,0
0074-HDKDG,No,Hombre,0,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Anual,Si,Transferencia bancaria (automatico),61.6,1611.0,2.0533333333333332,4,0
0076-LVEPS,No,Hombre,0,No,Si,29,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Mensual,Si,Cheque por correo,45.0,1242.45,1.5,4,0
0078-XZMHT,No,Hombre,0,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automatico),85.15,6316.2,2.8383333333333334,7,0
0080-EMYVY,No,Mujer,0,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Anual,No,Tarjeta de credito (automatico),51.45,727.85,1.715,2,0
0080-OROZO,No,Mujer,0,No,No,35,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Anual,Si,Cheque electronico,99.25,3532.0,3.308333333333333,5,0
0082-LDZUE,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,44.3,44.3,1.4766666666666666,1,0
0082-OQIQY,No,Hombre,0,No,No,29,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electronico,94.2,2607.6,3.14,4,0
0083-PIVIK,No,Hombre,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Anual,No,Cheque electronico,81.25,5567.55,2.7083333333333335,7,0
0089-IIQKO,No,Mujer,0,Si,Si,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito (automatico),99.95,3767.4,3.3316666666666666,5,0
0093-EXYQL,No,Mujer,1,No,No,40,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,91.55,3673.6,3.0516666666666667,3,0
0093-XWZFY,Si,Hombre,0,No,No,40,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de credito (automatico),104.5,4036.85,3.4833333333333334,6,1
0094-OIFMO,Si,Mujer,1,No,No,11,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,95.0,1120.3,3.1666666666666665,4,1
0096-BXERS,No,Mujer,0,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electronico,50.35,314.55,1.6783333333333335,2,0
0096-FCPUF,No,Hombre,0,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mensual,Si,Cheque por correo,64.5,1888.45,2.15,4,0
0098-BOWSO,No,Hombre,0,No,No,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electronico,19.4,529.8,0.6466666666666666,1,0
0100-DUVFC,No,Hombre,1,Si,No,70,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Anual,Si,Cheque electronico,104.8,7308.95,3.493333333333333,6,0
0103-CSITQ,No,Mujer,0,Si,No,57,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),109.4,6252.7,3.646666666666667,7,0
0104-PPXDV,No,Hombre,0,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Anual,No,Tarjeta de credito (automatico),50.3,2878.55,1.6766666666666665,2,0
0106-GHRQR,No,Hombre,0,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mensual,Si,Transferencia bancaria (automatico),71.4,1212.1,2.3800000000000003,5,0
0106-UGRDO,No,Mujer,0,Si,No,69,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electronico,116.0,8182.85,3.8666666666666667,8,0
0107-WESLM,Si,Hombre,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electronico,19.85,19.85,0.6616666666666667,1,1
0107-YHINA,Si,Hombre,0,No,Si,1,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electronico,99.75,99.75,3.325,5,1
0111-KLBQG,No,Hombre,1,Si,Si,32,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque por correo,93.95,2861.45,3.131666666666667,4,0
0112-QAWRZ,No,Hombre,0,Si,Si,16,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Transferencia bancaria (automatico),90.8,1442.2,3.0266666666666664,4,0
0112-QWPNC,Si,Hombre,0,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque electronico,84.35,4059.35,2.8116666666666665,7,1
0114-IGABW,No,Mujer,0,Si,No,71,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automatico),58.25,4145.9,1.9416666666666667,5,0
0114-PEGZZ,No,Mujer,0,No,No,33,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,No,Cheque electronico,107.55,3645.5,3.585,6,0
0114-RSRRW,No,Mujer,0,Si,No,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Transferencia bancaria (automatico),19.95,187.75,0.6649999999999999,1,0
0115-TFERT,Si,Hombre,0,Si,No,21,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mensual,Si,Cheque electronico,111.2,2317.1,3.7066666666666666,7,1
0117-LFRMW,Si,Hombre,0,Si,Si,37,No,Sin servicio telefonico,DSL,Si,Si,Si,No,No,No,Mensual,No,Transferencia bancaria (automatico),40.2,1448.8,1.34,3,1
0118-JPNOY,No,Mujer,1,No,No,26,Si,No,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Tarjeta de credito (automatico),85.8,2193.65,2.86,3,0
0121-SNYRK,No,Hombre,0,No,No,50,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,Si,Cheque por correo,35.4,1748.9,1.18,2,0
0122-OAHPZ,Si,Mujer,0,No,No,7,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,73.85,511.25,2.4616666666666664,2,1
0123-CRBRT,No,Mujer,0,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,88.1,5526.75,2.9366666666666665,8,0
0125-LZQXK,Si,Hombre,0,No,No,15,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque electronico,101.35,1553.95,3.378333333333333,5,1
0128-MKWSG,No,Mujer,0,No,Si,26,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,Si,Mensual,No,Cheque por correo,45.8,1147.0,1.5266666666666666,3,0
0129-KPTWJ,No,Hombre,0,Si,No,72,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electronico,94.65,6747.35,3.1550000000000002,4,0
0129-QMPDR,No,Hombre,0,Si,Si,44,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automatico),20.5,865.05,0.6833333333333333,1,0
0130-SXOUN,No,Hombre,0,No,No,66,Si,Si,Fibra optica,No,Si,No,No,No,Si,Mensual,No,Tarjeta de credito (automatico),89.4,5976.9,2.98,4,0
0133-BMFZO,Si,Mujer,0,No,No,2,Si,No,Fibra optica,Si,Si,No,Si,No,No,Mensual,Si,Cheque electronico,86.25,181.65,2.875,4,1
0134-XWXCE,No,Mujer,1,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Anual,No,Transferencia bancaria (automatico),74.85,3268.05,2.4949999999999997,5,0
0135-NMXAP,Si,Mujer,0,No,No,12,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria (automatico),89.75,1052.4,2.9916666666666667,4,1
0136-IFMYD,No,Hombre,1,Si,No,69,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,Si,Cheque electronico,109.95,7634.25,3.665,7,0
0137-OCGAB,Si,Mujer,0,No,No,1,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque por correo,80.2,80.2,2.6733333333333333,3,1
0137-UDEUO,Si,Mujer,0,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,19.85,63.75,0.6616666666666667,1,1
0139-IVFJG,No,Mujer,0,Si,No,2,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mensual,No,Cheque electronico,90.35,190.5,3.0116666666666663,4,0
0141-YEAYS,No,Mujer,1,No,No,27,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria (automatico),86.45,2401.05,2.881666666666667,4,0
0142-GVYSN,No,Hombre,0,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electronico,20.3,511.25,0.6766666666666666,1,0
0147-ESWWR,No,Mujer,1,Si,No,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electronico,101.25,3949.15,3.375,5,0
0148-DCDOS,Si,Hombre,0,No,No,25,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria (automatico),94.7,2362.1,3.1566666666666667,4,1
0151-ONTOV,Si,Mujer,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque por correo,70.9,70.9,2.3633333333333337,1,1
0156-FVPTA,Si,Hombre,0,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mensual,Si,Cheque electronico,54.2,1152.7,1.8066666666666669,3,1
0164-APGRB,No,Mujer,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electronico,114.9,8496.7,3.83,8,0
0164-XAIRP,No,Mujer,0,No,No,24,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria (automatico),19.55,470.2,0.6516666666666667,1,0
0168-XZKBB,No,Mujer,0,Si,No,19,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,86.85,1564.4,2.895,3,0
0174-QRVVY,No,Hombre,0,Si,Si,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),25.35,1847.55,0.8450000000000001,2,0
0177-PXBAT,No,Hombre,1,Si,No,33,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria (automatico),109.9,3694.7,3.6633333333333336,7,0
0178-CIIKR,No,Mujer,0,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,19.95,58.0,0.6649999999999999,1,0
0178-SZBHO,No,Hombre,0,Si,Si,47,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,No,Cheque electronico,87.2,4017.45,2.9066666666666667,4,0
0181-RITDD,No,Hombre,0,Si,Si,62,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,108.15,6825.65,3.605,7,0
0186-CAERR,No,Hombre,0,No,No,71,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),116.3,8309.55,3.8766666666666665,8,0
0187-QSXOE,No,Hombre,1,Si,No,7,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,89.0,605.45,2.966666666666667,3,0
0187-WZNAB,No,Mujer,0,Si,Si,27,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque por correo,74.4,1972.35,2.48,2,0
0188-GWFLE,No,Hombre,0,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.05,33.7,0.6683333333333333,1,0
0191-EQUUH,No,Mujer,0,No,Si,25,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Dos años,No,Transferencia bancaria (automatico),35.05,844.45,1.1683333333333332,2,0
0191-ZHSKZ,No,Hombre,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,74.75,2111.3,2.4916666666666667,5,0
0193-ESZXP,Si,Mujer,1,Si,No,58,Si,No,Fibra optica,Si,Si,No,Si,Si,Si,Anual,Si,Tarjeta de credito (automatico),105.5,6205.5,3.5166666666666666,6,1
0195-IESCP,Si,Hombre,0,Si,No,10,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,85.25,855.3,2.841666666666667,3,1
0196-JTUQI,No,Mujer,0,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),75.2,633.85,2.506666666666667,2,0
0196-VULGZ,Si,Mujer,1,Si,No,6,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,84.35,474.9,2.8116666666666665,3,1
0197-PNKNK,No,Mujer,0,Si,Si,69,Si,Si,Fibra optica,Si,No,Si,No,No,No,Anual,No,Transferencia bancaria (automatico),84.45,5848.6,2.815,4,0
0201-MIBOL,No,Mujer,1,No,No,66,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Dos años,Si,Transferencia bancaria (automatico),102.4,6471.85,3.4133333333333336,5,0
0201-OAMXR,Si,Mujer,0,No,No,70,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,No,Tarjeta de credito (automatico),115.55,8127.6,3.8516666666666666,8,1
0203-HHYIJ,Si,Hombre,0,No,No,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),25.3,676.35,0.8433333333333334,2,1
0206-OYVOC,No,Mujer,0,Si,Si,46,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Cheque por correo,19.25,864.2,0.6416666666666667,1,0
0206-TBWLC,No,Mujer,0,Si,No,54,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,Si,Cheque por correo,114.65,6049.5,3.8216666666666668,8,0
0207-MDKNV,Si,Mujer,0,No,No,15,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,No,Cheque electronico,105.1,1582.75,3.503333333333333,6,1
0208-BPQEJ,No,Mujer,0,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria (automatico),19.4,198.1,0.6466666666666666,1,0
0212-ISBBF,No,Mujer,0,No,No,22,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,50.35,1098.85,1.6783333333333335,3,0
0214-JHPFW,No,Mujer,0,Si,No,70,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automatico),57.8,4039.3,1.9266666666666665,5,0
0215-BQKGS,No,Hombre,0,No,No,30,Si,No,Fibra optica,Si,Si,Si,No,No,No,Mensual,Si,Tarjeta de credito (automatico),84.3,2438.6,2.81,4,0
0218-QNVAS,No,Hombre,0,Si,Si,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Anual,No,Transferencia bancaria (automatico),100.55,7113.75,3.3516666666666666,5,0
0219-QAERP,No,Hombre,0,Si,No,30,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de credito (automatico),19.8,576.65,0.66,1,0
0219-YTZUE,Si,Hombre,0,Si,Si,4,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria (automatico),84.8,371.9,2.8266666666666667,4,1
0220-EBGCE,Si,Hombre,0,No,No,2,Si,No,Fibra optica,No,No,Si,No,No,Si,Mensual,Si,Cheque electronico,85.85,167.3,2.8616666666666664,3,1
0221-NAUXK,No,Hombre,0,No,Si,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automatico),19.95,219.5,0.6649999999999999,1,0
0221-WMXNQ,No,Hombre,1,No,No,4,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque electronico,75.35,273.4,2.5116666666666663,2,0
0222-CNVPT,No,Hombre,1,No,No,52,No,Sin servicio telefonico,DSL,Si,No,No,No,Si,Si,Mensual,Si,Tarjeta de credito (automatico),48.8,2555.05,1.6266666666666665,3,0
0224-HJAPT,Si,Hombre,0,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electronico,47.15,223.15,1.5716666666666665,2,1
0224-NIJLP,No,Hombre,0,Si,Si,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,20.15,165.5,0.6716666666666666,1,0
0224-RLWWD,No,Mujer,1,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electronico,44.3,89.3,1.4766666666666666,1,0
0225-ZORZP,No,Hombre,0,No,No,3,Si,No,Fibra optica,No,Si,No,No,No,Si,Mensual,No,Cheque electronico,84.3,235.05,2.81,3,0
0228-MAUWC,No,Hombre,0,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Mensual,No,Cheque electronico,59.55,1144.6,1.9849999999999999,4,0
0229-LFJAF,No,Hombre,0,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria (automatico),69.65,4908.25,2.3216666666666668,6,0
0230-UBYPQ,No,Hombre,1,Si,No,63,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,No,Transferencia bancaria (automatico),36.1,2298.9,1.2033333333333334,2,0
